date,arrivals,search_trends,log_arrivals,log_search_trends,time_idx,diff_1,covid_dummy,lag_1,lag_3,lag_6,lag_12,lag_24,roll_mean_3,roll_mean_6,roll_mean_12,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2013-07-01,658325,60,13.397455528346702,4.110873864173311,42,0.14882608701760347,0,13.248629441329099,13.327619905480779,13.387512989955038,13.051943059028227,13.038983942375959,13.269903450377242,13.289142764906478,13.236149947415917,False,False,False,False,False,True,False,False,False,False,False
2013-08-01,676719,56,13.425012876977895,4.04305126783455,43,0.02755734863119308,0,13.397455528346702,13.233461004321853,13.254228131958866,13.171711481134627,13.221728959301892,13.29318199133255,13.290799854638422,13.264942653192456,False,False,False,False,False,False,True,False,False,False,False
2013-09-01,614827,56,13.329097832875618,4.04305126783455,44,-0.09591504410227714,0,13.425012876977895,13.248629441329099,13.283405116393233,13.039501198755396,12.565909086665917,13.357032615551232,13.31926397880826,13.286051102846065,False,False,False,False,False,False,False,True,False,False,False
2013-10-01,628695,60,13.351403112015936,4.110873864173311,45,0.022305279140317325,0,13.329097832875618,13.397455528346702,13.327619905480779,13.113478019266356,13.158652875664748,13.383855412733405,13.326879431555325,13.310184155689415,False,False,False,False,False,False,False,False,True,False,False
2013-11-01,731034,60,13.502216617202686,4.110873864173311,46,0.15081350518675052,0,13.351403112015936,13.425012876977895,13.233461004321853,13.393461696422444,13.324266948926006,13.368504607289816,13.330843299311184,13.33001124675188,False,False,False,False,False,False,False,False,False,True,False
2013-12-01,722349,54,13.490265064957528,4.007333185232471,47,-0.01195155224515787,0,13.502216617202686,13.329097832875618,13.248629441329099,13.32884732494508,13.293639153559031,13.394239187364747,13.37563590145799,13.3390741568169,False,False,False,False,False,False,False,False,False,False,True
2014-01-01,776174,69,13.562133289204484,4.248495242049359,48,0.07186822424695549,0,13.490265064957528,13.351403112015936,13.397455528346702,13.387512989955038,13.353476685668044,13.447961598058717,13.415908505396061,13.352525635151272,False,False,False,False,False,False,False,False,False,False,False
2014-02-01,842026,59,13.643567359218657,4.0943445622221,49,0.0814340700141738,0,13.562133289204484,13.502216617202686,13.425012876977895,13.254228131958866,13.43256497128598,13.5182049904549,13.443354798872356,13.36707732675539,True,False,False,False,False,False,False,False,False,False,False
2014-03-01,709725,58,13.472634259039992,4.07753744390572,50,-0.17093310017866514,0,13.643567359218657,13.490265064957528,13.329097832875618,13.283405116393233,13.23904002345962,13.565321904460225,13.479780545912485,13.399522262360371,False,True,False,False,False,False,False,False,False,False,False
2014-04-01,745980,54,13.522455409692652,4.007333185232471,51,0.049821150652659796,0,13.472634259039992,13.562133289204484,13.351403112015936,13.327619905480779,13.3374763699232,13.559444969154377,13.503703283606548,13.415291357580935,False,False,True,False,False,False,False,False,False,False,False
2014-05-01,674204,64,13.421289497951571,4.174387269895637,52,-0.1011659117410808,0,13.522455409692652,13.643567359218657,13.502216617202686,13.233461004321853,13.33022921653532,13.5462190093171,13.532211999886,13.431527649598591,False,False,False,True,False,False,False,False,False,False,False
2014-06-01,539776,53,13.198911370284808,3.9889840465642745,53,-0.22237812766676335,0,13.421289497951571,13.472634259039992,13.490265064957528,13.248629441329099,12.941872144545096,13.472126388894738,13.51872414667748,13.447180024067736,False,False,False,False,True,False,False,False,False,False,False
2014-07-01,564736,56,13.244115415030336,4.04305126783455,54,0.045204044745528194,0,13.198911370284808,13.522455409692652,13.562133289204484,13.397455528346702,13.051943059028227,13.380885425976345,13.470165197565363,13.443036851480711,False,False,False,False,False,True,False,False,False,False,False
2014-08-01,618588,54,13.335196356986415,4.007333185232471,55,0.09108094195607919,0,13.244115415030336,13.421289497951571,13.643567359218657,13.425012876977895,13.171711481134627,13.288105427755573,13.417162218536339,13.430258508704348,False,False,False,False,False,False,True,False,False,False,False
2014-09-01,590881,56,13.289371614862683,4.04305126783455,56,-0.045824742123732776,0,13.335196356986415,13.198911370284808,13.472634259039992,13.329097832875618,13.039501198755396,13.25940771410052,13.36576705149763,13.422773798705057,False,False,False,False,False,False,False,True,False,False,False
2014-10-01,559002,55,13.233910118849133,4.02535169073515,57,-0.05546149601354955,0,13.289371614862683,13.244115415030336,13.522455409692652,13.351403112015936,13.113478019266356,13.28956112895981,13.335223277468076,13.419463280537313,False,False,False,False,False,False,False,False,True,False,False
2014-11-01,608617,52,13.318946092083884,3.970291913552122,58,0.08503597323475098,0,13.233910118849133,13.335196356986415,13.421289497951571,13.502216617202686,13.393461696422444,13.286159363566076,13.287132395660825,13.40967219777341,False,False,False,False,False,False,False,False,False,True,False
2014-12-01,657304,53,13.395903421099352,3.9889840465642745,59,0.07695732901546748,0,13.318946092083884,13.289371614862683,13.198911370284808,13.490265064957528,13.32884732494508,13.280742608598565,13.270075161349544,13.394399654013512,False,False,False,False,False,False,False,False,False,False,True
2015-01-01,700692,67,13.459825124298735,4.219507705176107,60,0.06392170319938373,0,13.395903421099352,13.233910118849133,13.244115415030336,13.562133289204484,13.387512989955038,13.316253210677457,13.302907169818633,13.386536183691996,False,False,False,False,False,False,False,False,False,False,False
2015-02-01,756000,55,13.535797977912118,4.02535169073515,61,0.0759728536133828,0,13.459825124298735,13.318946092083884,13.335196356986415,13.643567359218657,13.254228131958866,13.39155821249399,13.338858788030032,13.378010503283186,True,False,False,False,False,False,False,False,False,False,False
2015-03-01,617895,57,13.33407543748871,4.060443010546419,62,-0.20172254042340754,0,13.535797977912118,13.395903421099352,13.289371614862683,13.472634259039992,13.283405116393233,13.463842174436735,13.372292391517648,13.369029721507642,False,True,False,False,False,False,False,False,False,False,False
2015-04-01,690440,57,13.445085802851352,4.060443010546419,63,0.11101036536264175,0,13.33407543748871,13.459825124298735,13.233910118849133,13.522455409692652,13.327619905480779,13.443232846566522,13.37974302862199,13.357483153045033,False,False,True,False,False,False,False,False,False,False,False
